customer_id,recency,frequency,monetary,R,F,M,rfm_score,rfm_total,age,gender,region,loyalty_tier,avg_order_value,total_orders,online_ratio,avg_discount_used,customer_lifetime_days,category_diversity,gender_enc,region_enc,loyalty_enc
CUST00001,26,34,25143.34,2,3,3,233,8,56,F,Central,Bronze,739.51,34,0.6764705882352942,0.029411764705882353,1036,5,1,0,0
CUST00002,43,35,28251.87,1,3,4,134,8,69,M,South,Bronze,807.1962857142856,35,0.7428571428571429,0.022857142857142857,1006,5,0,3,0
CUST00003,13,29,17985.56,3,1,1,311,5,46,F,South,Bronze,620.191724137931,29,0.6206896551724138,0.022413793103448276,982,5,1,3,0
CUST00004,3,51,34670.78,5,5,5,555,15,32,Other,East,Bronze,679.8192156862744,51,0.5294117647058824,0.02254901960784314,1045,5,2,1,0
CUST00005,2,32,22076.98,5,2,2,522,9,60,M,Central,Gold,689.905625,32,0.6875,0.034375,1055,5,0,0,2
CUST00006,12,26,21577.51,4,1,2,412,7,25,M,North,Bronze,829.9042307692307,26,0.6538461538461539,0.04038461538461539,1074,5,0,2,0
CUST00007,1,35,25481.47,5,3,3,533,11,38,M,South,Bronze,728.042,35,0.6285714285714286,0.04,1094,5,0,3,0
CUST00008,11,33,20140.01,4,2,1,421,7,56,F,Central,Bronze,610.3033333333333,33,0.696969696969697,0.034848484848484844,1072,5,1,0,0
CUST00009,1,32,22485.399999999998,5,2,2,522,9,36,F,Central,Bronze,702.6687499999999,32,0.59375,0.021875000000000002,1045,5,1,0,0
CUST00010,50,25,23812.5,1,1,2,112,4,40,M,North,Gold,952.5,25,0.6,0.04,1027,5,0,2,2
CUST00011,68,34,23942.69,1,3,2,132,6,28,F,Central,Bronze,704.1967647058823,34,0.5588235294117647,0.016176470588235296,972,5,1,0,0
CUST00012,33,34,22411.38,2,3,2,232,7,28,M,Central,Platinum,659.1582352941177,34,0.6764705882352942,0.02058823529411765,1053,5,0,0,3
CUST00013,68,35,34914.71,1,3,5,135,9,41,M,Central,Bronze,997.5631428571428,35,0.7428571428571429,0.014285714285714285,1021,5,0,0,0
CUST00014,15,38,27411.14,3,4,4,344,11,53,F,South,Silver,721.3457894736842,38,0.7105263157894737,0.035526315789473684,1039,5,1,3,1
CUST00015,62,26,15968.23,1,1,1,111,3,57,M,North,Silver,614.1626923076923,26,0.6153846153846154,0.013461538461538462,993,5,0,2,1
CUST00016,7,33,26130.75,4,2,3,423,9,41,F,Central,Gold,791.8409090909091,33,0.6060606060606061,0.02575757575757576,1056,5,1,0,2
CUST00017,13,40,29010.73,3,4,4,344,11,20,M,Central,Silver,725.26825,40,0.75,0.027500000000000004,1061,5,0,0,1
CUST00018,17,38,31894.49,3,4,5,345,12,39,Other,South,Silver,839.3286842105264,38,0.631578947368421,0.017105263157894738,1052,5,2,3,1
CUST00019,13,35,29470.25,3,3,4,334,10,19,M,North,Bronze,842.0071428571429,35,0.7714285714285715,0.030000000000000002,1081,5,0,2,0
CUST00020,132,33,20853.52,1,2,1,121,4,41,M,East,Bronze,631.9248484848486,33,0.5454545454545454,0.022727272727272728,879,5,0,1,0
CUST00021,63,38,29566.95,1,4,4,144,9,61,F,South,Gold,778.0776315789474,38,0.5789473684210527,0.02236842105263158,1005,5,1,3,2
CUST00022,94,24,14502.1,1,1,1,111,3,47,M,North,Bronze,604.2541666666667,24,0.4583333333333333,0.02291666666666667,946,5,0,2,0
CUST00023,1,40,30944.78,5,4,5,545,14,55,Other,Central,Bronze,773.6195,40,0.675,0.035,1094,5,2,0,0
CUST00024,4,24,12015.48,5,1,1,511,7,19,F,North,Silver,500.645,24,0.5833333333333334,0.02916666666666667,982,5,1,2,1
CUST00025,8,36,22803.760000000002,4,3,2,432,9,38,F,North,Bronze,633.4377777777778,36,0.6666666666666666,0.02638888888888889,1043,5,1,2,0
CUST00026,24,39,25960.4,2,4,3,243,9,50,F,North,Platinum,665.6512820512821,39,0.5897435897435898,0.030769230769230767,1032,5,1,2,3
CUST00027,34,34,25794.58,2,3,3,233,8,29,F,East,Silver,758.6641176470589,34,0.8235294117647058,0.020588235294117647,1056,5,1,1,1
CUST00028,3,38,34576.24,5,4,5,545,14,39,F,North,Silver,909.9010526315789,38,0.6052631578947368,0.011842105263157895,1066,5,1,2,1
CUST00029,20,27,13984.869999999999,3,1,1,311,5,61,F,East,Gold,517.9581481481481,27,0.6666666666666666,0.014814814814814815,1073,5,1,1,2
CUST00030,10,32,17379.66,4,2,1,421,7,42,F,Central,Bronze,543.114375,32,0.46875,0.0234375,1086,5,1,0,0
